Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
6931931138873,1.3,5,,,,
6931931138880,1.3,5,,,,
6931931139108,1.3,5,,,,
6931931139115,1.3,5,,,,
6931931139153,1.3,5,,,,
6931931137876,1.3,5,,,,
6931931137890,1.3,5,,,,
6931931138262,1.3,5,,,,
6931931138484,1.3,5,,,,
6931931138774,1.3,5,,,,
6931931139603,1.3,5,,,,
6931931139665,1.3,5,,,,
6931931139726,1.3,5,,,,
6931931139764,1.3,5,,,,
6931931139900,1.3,5,,,,
6931931175304,2.3,5,,,,
6931931175311,2.3,5,,,,
6931931175328,2.3,5,,,,
6931931175335,2.7,5,,,,
6931931175342,2.7,5,,,,
6931931175359,2.3,5,,,,
6931931175366,2.3,5,,,,
6931931175373,2.3,5,,,,
6931931175380,2.7,5,,,,
6931931175397,2.7,5,,,,
