Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
M-អាវវាលក្លៀកតុក្កតា 3-4kg,71512,code128,,Cloth,pcs,pcs,pcs,0.75,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-អាវវាលក្លៀកតុក្កតា 4-5kg,71513,code128,,Cloth,pcs,pcs,pcs,0.75,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-អាវវាលក្លៀកតុក្កតា 5.5-6.5kg,71514,code128,,Cloth,pcs,pcs,pcs,0.75,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL-អាវវាលក្លៀកតុក្កតា 7-9kg,71515,code128,,Cloth,pcs,pcs,pcs,0.75,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-អាវវាលក្លៀក 1-2kg,71516,code128,,Cloth,pcs,pcs,pcs,0.75,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-អាវវាលក្លៀក 2-3kg,71517,code128,,Cloth,pcs,pcs,pcs,0.75,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-អាវវាលក្លៀក 3.5-4.5kg,71518,code128,,Cloth,pcs,pcs,pcs,0.75,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-អាវវាលក្លៀក 5-6kg,71519,code128,,Cloth,pcs,pcs,pcs,0.75,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-រ៉ូបវាលក្លៀក 1-2kg,71520,code128,,Cloth,pcs,pcs,pcs,0.9,2.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-រ៉ូបវាលក្លៀក 2-3kg,71521,code128,,Cloth,pcs,pcs,pcs,0.9,2.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-រ៉ូបវាលក្លៀក 3.5-4.5kg,71522,code128,,Cloth,pcs,pcs,pcs,0.9,2.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-រ៉ូបវាលក្លៀក 5-6kg,71523,code128,,Cloth,pcs,pcs,pcs,0.9,2.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
អំបោសបោសផ្ទះ Hamster,71524,code128,,Daily Used,pcs,pcs,pcs,0.9,3,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
ដុំស្មៅ Grass Ball,71525,code128,,Food,pcs,pcs,pcs,1.2,2.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
ផ្លែឈើជ័រ​ Fruit,71526,code128,,Toy,pcs,pcs,pcs,0.9,2.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
វ៉ាលីជ្រុង,71527,code128,,Daily Used,pcs,pcs,pcs,17.3,30,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
បង្គន់ប្រអប់ Toilet,71528,code128,,Daily Used,pcs,pcs,pcs,10.7,16,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
កាបូបអង្គុយចន្លោះកៅអីឡាន,71529,code128,,Daily Used,pcs,pcs,pcs,12.2,18,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
កាបូបថ្លា Backpack,71530,code128,,Daily Used,pcs,pcs,pcs,5.36,14,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅរូបខ្លាឃ្មុំ 4-7.5kg,71532,code128,,Collar,pcs,pcs,pcs,1.2,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅរូបទីទុយ 1-3.5kg,71533,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅរូបទីទុយ 4-8kg,71534,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅក Monster 3.5-9kg,71535,code128,,Collar,pcs,pcs,pcs,0.7,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅក Monster 9-15kg,71536,code128,,Collar,pcs,pcs,pcs,0.7,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅកដែកអុីណុក 3kgចុះ,71537,code128,,Collar,pcs,pcs,pcs,1.6,3,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅកដែកអុីណុក 3-8kg,71538,code128,,Collar,pcs,pcs,pcs,2.2,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-ប្រឡៅកដែកអុីណុក 8-15kg,71539,code128,,Collar,pcs,pcs,pcs,2.65,4,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-ប្រឡៅកដែកអុីណុក 15-30kg,71540,code128,,Collar,pcs,pcs,pcs,2.7,4,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
ខ្សែទាញ 1,71541,code128,,Toy,pcs,pcs,pcs,1,3,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
ខ្សែទាញ 2,71542,code128,,Toy,pcs,pcs,pcs,0.8,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
តូច ក្រាស់ធ្មេញជ័រខៀវ ,71543,code128,,Daily Used,pcs,pcs,pcs,0.9,2.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
ធំ ក្រាស់ធ្មេញជ័រខៀវ ,71544,code128,,Daily Used,pcs,pcs,pcs,1.3,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
ដងឆ្មារលេង ដង្កូវ,71545,code128,,Toy,pcs,pcs,pcs,0.7,2.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
កាំ4 រនាំងទ្វារ,71546,code128,,Daily Used,pcs,pcs,pcs,6.57,9.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
តុក្កតា កូនទា Duck,74363,code128,,Toy,pcs,pcs,pcs,1.32,3,,,,74363.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
តុក្កតា ខ្លាឃ្មុំ Bear,74394,code128,,Toy,pcs,pcs,pcs,1.32,3,,,,74394.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
បូរចូកសក់ Hair Bow,7469,code128,,Cloth,pcs,pcs,pcs,0.72,2,,,,7469.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monge Tuna,8009470013017,code128,,Food,pcs,pcs,pcs,0.71,1.5,,,,8009470013017.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monge Chicken Vegetable,8009470013031,code128,,Food,pcs,pcs,pcs,0.71,1.5,,,,8009470013031.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monge Duck,8009470013048,code128,,Food,pcs,pcs,pcs,0.71,1.5,,,,8009470013048.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monge Chicken,8009470013062,code128,,Food,pcs,pcs,pcs,0.71,1.5,,,,8009470013062.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monge Pork,8009470013093,code128,,Food,pcs,pcs,pcs,0.71,1.5,,,,8009470013093.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monge Fish,8009470013109,code128,,Food,pcs,pcs,pcs,0.71,1.5,,,,8009470013109.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanimal Pee Pad 45*60cm,805848389450,code128,,Daily Used,pcs,pcs,pcs,6.55,9,,,,805848389450.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happi Doggy Honey,811085031328,code128,,Food,pcs,pcs,pcs,0.43,0.75,,,,811085031328.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ឆ្អឹងជ័រ តូច,8433278951040,code128,,Toy,pcs,pcs,pcs,1.28,3,,,,8433278951040.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ឆ្អឹងជ័រ ធំ,8433278951064,code128,,Toy,pcs,pcs,pcs,2.62,4,,,,8433278951064.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ខ្នើយហតដក​ Hotdog Pillow,8433298019607,code128,,Toy,pcs,pcs,pcs,1.4,3.5,,,,8433298019607.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ប្រឡៅកគីគីធំ 65cm Collar,8433298025523,code128,,Collar,pcs,pcs,pcs,1.1,3.5,,,,8433298025523.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS ប្រឡៅកស្បែក Leather Collar,8433298025578,code128,,Collar,pcs,pcs,pcs,1.1,3.5,,,,8433298025578.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS ប្រឡៅក Collar​,8433298026612,code128,,Collar,pcs,pcs,pcs,0.6,2.5,,,,8433298026612.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
បាល់រៀងស្ករគ្រាប់ Candy,8433298073630,code128,,Toy,pcs,pcs,pcs,1.2,2.5,,,,8433298073630.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS ឆ្អឹងមានសំលេង Color Bone,8433298074385,code128,,Toy,pcs,pcs,pcs,0.85,2.5,,,,8433298074385.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
បាល់អង្គាម2ពណ៌ 2-color Ball,8433298074590,code128,,Toy,pcs,pcs,pcs,1.2,3,,,,8433298074590.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ខ្នើយស្ទេកសាច់គោ​ Steak Pillow,8433298077515,code128,,Toy,pcs,pcs,pcs,1.3,3.5,,,,8433298077515.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
តុក្កតាកជ័រ,8433298105225,code128,,Toy,pcs,pcs,pcs,1.7,3.5,,,,8433298105225.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
តុក្កតាកជ័រ,8433298105232,code128,,Toy,pcs,pcs,pcs,1.7,3.5,,,,8433298105232.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravecto 40-56KG,8713184152046,code128,,Medicine,pcs,pcs,pcs,21.6,25,,,,8713184152046.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravecto 2-4.5KG,8713184164216,code128,,Medicine,pcs,pcs,pcs,14.4,18,,,,8713184164216.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravecto 4.5-10KG,8713184164223,code128,,Medicine,pcs,pcs,pcs,15.5,21,,,,8713184164223.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravecto 10-20KG,8713184164230,code128,,Medicine,pcs,pcs,pcs,17.4,21,,,,8713184164230.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravecto 20-40KG,8713184164445,code128,,Medicine,pcs,pcs,pcs,20.1,23,,,,8713184164445.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budle សាប៊ូអង្កែរ,8809004451595,code128,,Shampoo,pcs,pcs,pcs,6.3,10,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budle សាប៊ូបញ្ហាស្បែក,8809004459348,code128,,Shampoo,pcs,pcs,pcs,7.2,10,,,,8809004459348.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budle សាប៊ូអង្កែរ,8809004459355,code128,,Shampoo,pcs,pcs,pcs,7.2,10,,,,8809004459355.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
