Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Test Product 11,TPR-11,code128,Guess,Cloth,pcs,pcs,,90,100,20,No Tax,exclusive,no_image.png,SC1,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6,HSN,Pro 11,,,Mohd Khairul,NG01,90,,,,,,,,,,,,
S អាវបាល់បោះក្រហម,6931931138873,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M អាវបាល់បោះក្រហម,6931931138880,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L អាវបាល់បោះក្រហម,6931931139108,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL អាវបាល់បោះក្រហម,6931931139115,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL អាវបាល់បោះក្រហម,6931931139153,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S អាវបាល់បោះខ្មៅ,6931931137876,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M អាវបាល់បោះខ្មៅ,6931931137890,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L អាវបាល់បោះខ្មៅ,6931931138262,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL អាវបាល់បោះខ្មៅ,6931931138484,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL អាវបាល់បោះខ្មៅ,6931931138774,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S អាវបាល់បោះបៃតង,6931931139603,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M អាវបាល់បោះបៃតង,6931931139665,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L អាវបាល់បោះបៃតង,6931931139726,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL អាវបាល់បោះបៃតង,6931931139764,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL អាវបាល់បោះបៃតង,6931931139900,code128,,Cloth,pcs,pcs,,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S អាវ#10 ផ្ទៃមេឃ,6931931175304,code128,,Cloth,pcs,pcs,,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M អាវ#10 ផ្ទៃមេឃ,6931931175311,code128,,Cloth,pcs,pcs,,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L អាវ#10 ផ្ទៃមេឃ,6931931175328,code128,,Cloth,pcs,pcs,,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL អាវ#10 ផ្ទៃមេឃ,6931931175335,code128,,Cloth,pcs,pcs,,2.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL អាវ#10 ផ្ទៃមេឃ,6931931175342,code128,,Cloth,pcs,pcs,,2.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S អាវ#10​​​  បៃតង,6931931175359,code128,,Cloth,pcs,pcs,,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M អាវ#10​​​  បៃតង,6931931175366,code128,,Cloth,pcs,pcs,,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L អាវ#10​​​  បៃតង,6931931175373,code128,,Cloth,pcs,pcs,,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL អាវ#10​​​  បៃតង,6931931175380,code128,,Cloth,pcs,pcs,,2.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL អាវ#10​​​  បៃតង,6931931175397,code128,,Cloth,pcs,pcs,,2.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
