Product Code,Product Name,Variant,Expected,Counted
1203101540,Black ប្រឡៅកមានខ្សែបណ្តើរ ,,0,1
123455,Free Dog Royal Canin,,0,1
14121000,ឆ្អឹង Daddy Dog 30cm,,0,1
2011SXSL5932HX14,L-អាវលឿង Cute Baby,,0,1
2103SXSL6175LB10,អាវមានកាបូបម្នាស់-S Pineapple Bag Shirt,,0,1
3182250702201,Cat Fit 2 kg Royal Canine ,,0,1
3182250771252,Cat Gastrointestinal 2 kg Royal Canine ,,0,1
3182550402439,Royal Canin Medium Puppy 1kg,,0,1
3182550402460,Royal Canin Maxi Puppy 1kg,,0,1
3182550702447,Royal Canine Kitten 4kg,,0,1
3182550704625,Indoor Adult Cat 2Kg Royal Canin,,0,1
3182550707329,Royal Canine Mother Baby 4kg,,0,1
3182550752404,Pug Adult 1.5Kg Royal Canin,,0,1
3182550765190,RC Poodle Puppy 500g ,,0,1
3182550771054,Dog Gastrointestinal 2kg Royal Canine ,,0,1
3182550803229,Medium Puppy 16kg Royal Canin ,,0,1
3182550803342,Medium Adult 16kg Royal Canin,,0,1
3182550803359,Maxi Puppy 16kg Royal Canin,,0,1
3182550803373,Maxi Adult 16kg Royal Canin,,0,1
3182550815512,Puppy  Gastrointestinal 1kg Royal Canine ,,0,1
3182550838344,Mini Puppy 500g Royal Canin,,0,1
3182550932707,Starter 4kg Royal Canine ,,0,1
3182550933346,Mini Starter 3Kg Royal Canin,,0,1
3258561270012,Belle France Dog Beef,,0,1
3258561270050,Belle France Dog Lamb,,0,1
40091004,IVY Dog Shampoo Yellow,,0,1
433298037557,M-ប្រឡៅBPS,,0,1
4580626180042,Hell Kitchen 2 Goat Milk Cat Porridge,,0,1
4580626180059,Hell Kitchen 3 Cheese Chicken Cat Porridge,,0,1
4580626180202,Hell Kitchen 4 Fish and Shrimp Cat Porridge,,0,1
4580626180219,Hell Kitchen 1 Pumpkin and Ham Cat Porridge,,0,1
4901133625893,Ciao Churu Bee Maguro,,0,1
4902397811138,Cesar សាច់កំប៉ុង កូនឆ្កែ Puppy,,0,1
5060568731001,Reichold ស្ព្រៃកំចាត់ក្លិន និងមេរោគ Pet Deodorant ,,0,1
5060568731292,Reichold សាប៊ូកំចាត់បាក់តេរី  Antibacterial Soft Shampoo,,0,1
5060568731438,Reichold សាប៊ូកំចាត់ផ្សិតលើស្បែក Antifungal Shampoo,,0,1
5060568731445,Reichold ក្រណាត់សើម Wet Wipe,,0,1
60001,ប្រឡៅក្រណាត់មាំល្អ Best harness,L:Blue,0,1
60001,ប្រឡៅក្រណាត់មាំល្អ Best harness,L:Pink,0,1
60001,ប្រឡៅក្រណាត់មាំល្អ Best harness,M:Blue,0,1
60001,ប្រឡៅក្រណាត់មាំល្អ Best harness,M:Pink,0,1
60001,ប្រឡៅក្រណាត់មាំល្អ Best harness,S:Blue,0,1
60001,ប្រឡៅក្រណាត់មាំល្អ Best harness,XL:Blue,0,1
60001,ប្រឡៅក្រណាត់មាំល្អ Best harness,XL:Pink,0,1
60002,សំណាញ់-ប្រឡៅ Net Harness,L:Blue,0,1
60002,សំណាញ់-ប្រឡៅ Net Harness,L:Green,0,1
60002,សំណាញ់-ប្រឡៅ Net Harness,L:Orange,0,1
60002,សំណាញ់-ប្រឡៅ Net Harness,L:Pink,0,1
60002,សំណាញ់-ប្រឡៅ Net Harness,L:Red,0,1
60002,សំណាញ់-ប្រឡៅ Net Harness,M:Blue,0,1
60002,សំណាញ់-ប្រឡៅ Net Harness,M:Green,0,1
60002,សំណាញ់-ប្រឡៅ Net Harness,M:Orange,0,1
