Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
កាបូបអង្គុយចន្លោះកៅអីឡាន,71613,code128,,Daily Used,pcs,pcs,pcs,12.2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M អាវប្រេន 1.5-2.5kg,71579,code128,,Cloth,pcs,pcs,pcs,3.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L អាវប្រេន 2.5-3.5kg,71580,code128,,Cloth,pcs,pcs,pcs,3.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL អាវប្រេន 3.5-4.5kg,71581,code128,,Cloth,pcs,pcs,pcs,3.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL អាវប្រេន 4.5-5.5kg,71582,code128,,Cloth,pcs,pcs,pcs,3.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL អាវប្រេន 6-8kg,71583,code128,,Cloth,pcs,pcs,pcs,3.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL អាវប្រេន 8-13kg,71584,code128,,Cloth,pcs,pcs,pcs,4.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL អាវប្រេន 13-15kg,71585,code128,,Cloth,pcs,pcs,pcs,4.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XL អាវប្រេន 15-25kg,71586,code128,,Cloth,pcs,pcs,pcs,4.75,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XL អាវប្រេន 26-32kg,71587,code128,,Cloth,pcs,pcs,pcs,5.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8XL អាវប្រេន 33-43kg,71588,code128,,Cloth,pcs,pcs,pcs,5.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9XL អាវប្រេន 44-80kg,71589,code128,,Cloth,pcs,pcs,pcs,6,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M អាវPolo ការ៉ូPolo ការ៉ូ 1.5-2.5kg,71590,code128,,Cloth,pcs,pcs,pcs,3.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L អាវPolo ការ៉ូPolo ការ៉ូ 2.5-3.5kg,71591,code128,,Cloth,pcs,pcs,pcs,3.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL អាវPolo ការ៉ូPolo ការ៉ូ 3.5-4.5kg,71592,code128,,Cloth,pcs,pcs,pcs,3.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL អាវPolo ការ៉ូPolo ការ៉ូ 4.5-5.5kg,71593,code128,,Cloth,pcs,pcs,pcs,3.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL អាវPolo ការ៉ូPolo ការ៉ូ 6-8kg,71594,code128,,Cloth,pcs,pcs,pcs,3.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL អាវPolo ការ៉ូPolo ការ៉ូ 8-13kg,71595,code128,,Cloth,pcs,pcs,pcs,3.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL អាវPolo ការ៉ូPolo ការ៉ូ 13-15kg,71596,code128,,Cloth,pcs,pcs,pcs,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XL អាវPolo ការ៉ូPolo ការ៉ូ 15-25kg,71597,code128,,Cloth,pcs,pcs,pcs,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XL អាវPolo ការ៉ូPolo ការ៉ូ 26-32kg,71598,code128,,Cloth,pcs,pcs,pcs,4.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
