Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
C71636,0.85,5,,,,
C71637,0.85,5,,,,
C71638,1,5,,,,
C71639,1,5,,,,
C71640,1.3,5,,,,
C71641,1.3,5,,,,
C71642,1.85,5,,,,
C71643,1.85,5,,,,
C71644,1.85,5,,,,
C71645,1.85,5,,,,
C71646,2.1,5,,,,
C71647,2.1,5,,,,
C71648,0.85,5,,,,
C71649,0.85,5,,,,
C71650,1,5,,,,
C71651,1,5,,,,
C71652,1.3,5,,,,
C71653,1.3,5,,,,
C71654,1.85,5,,,,
C71655,1.85,5,,,,
C71656,1.85,5,,,,
C71657,1.85,5,,,,
C71658,2.1,5,,,,
C71659,2.1,5,,,,
C71660,0.85,5,,,,
C71661,0.85,5,,,,
C71662,1,5,,,,
C71663,1,5,,,,
C71664,1.3,5,,,,
C71665,1.3,5,,,,
C71666,1.85,5,,,,
C71667,1.85,5,,,,
C71668,1.85,5,,,,
C71669,1.85,5,,,,
C71670,2.1,5,,,,
C71671,2.1,5,,,,
C71672,0.85,5,,,,
C71673,0.85,5,,,,
C71674,1,5,,,,
C71675,1,5,,,,
C71676,1.3,5,,,,
C71677,1.3,5,,,,
C71678,1.85,5,,,,
C71679,1.85,5,,,,
C71680,1.85,5,,,,
C71681,1.85,5,,,,
C71682,2.1,5,,,,
C71683,2.1,5,,,,
C71684,0.85,5,,,,
C71685,0.85,5,,,,
C71686,1,5,,,,
C71687,1,5,,,,
C71688,1.3,5,,,,
C71689,1.3,5,,,,
C71690,1.85,5,,,,
C71691,1.85,5,,,,
C71692,1.85,5,,,,
C71693,1.85,5,,,,
C71694,2.1,5,,,,
C71695,2.1,5,,,,
C71696,0.85,5,,,,
C71697,0.85,5,,,,
C71698,1,5,,,,
C71699,1,5,,,,
C71700,1.3,5,,,,
C71701,1.3,5,,,,
C71702,1.85,5,,,,
C71703,1.85,5,,,,
C71704,1.85,5,,,,
