Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
M Red ចានអុីណុក,2005YN4970TD02,code129,,Daily Used ,pcs,pcs,,1.21,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L Red ចានអុីណុក,2005YN4970TD03,code129,,Daily Used ,pcs,pcs,,1.52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL Red ចានអុីណុក,2005YN4970TD04,code129,,Daily Used ,pcs,pcs,,1.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Yellow ចានអុីណុក,6975170717611,code129,,Daily Used ,pcs,pcs,,1.06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Yellow ចានអុីណុក,6928949697072,code129,,Daily Used ,pcs,pcs,,1.21,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L Yellow ចានអុីណុក,6928949697089,code129,,Daily Used ,pcs,pcs,,1.52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL Yellow ចានអុីណុក,6928949697096,code129,,Daily Used ,pcs,pcs,,1.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Blue ចានអុីណុក,6975170712258,code129,,Daily Used ,pcs,pcs,,1.06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Blue ចានអុីណុក,6975170712265,code129,,Daily Used ,pcs,pcs,,1.21,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L Blue ចានអុីណុក,6975170712272,code129,,Daily Used ,pcs,pcs,,1.52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL Blue ចានអុីណុក,6975170712289,code129,,Daily Used ,pcs,pcs,,1.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Pink ចានអុីណុក,6975170717604,code129,,Daily Used ,pcs,pcs,,1.06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Pink ចានអុីណុក,6928949697126,code129,,Daily Used ,pcs,pcs,,1.21,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L Pink ចានអុីណុក,6928949697133,code129,,Daily Used ,pcs,pcs,,1.52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL Pink ចានអុីណុក,6928949697140,code129,,Daily Used ,pcs,pcs,,1.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL-អាវ Red Soccer Club 10-15kg,6931931152749,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL-អាវ Red Soccer Club 15-20kg,6931931152756,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL-អាវ Red Soccer Club 20-25kg,6931931152800,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XL-អាវ Red Soccer Club 25-30kg,6931931152817,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XL-អាវ Red Soccer Club 30-35kg,6931931152862,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8XL-អាវ Red Soccer Club 35-40kg,6931931152879,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL-អាវ blue Soccer Club 10-15kg,6931931152633,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL-អាវ blue Soccer Club 15-20kg,6931931152664,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL-អាវ blue Soccer Club 20-25kg,6931931152671,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XL-អាវ blue Soccer Club 25-30kg,6931931152688,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XL-អាវ blue Soccer Club 30-35kg,6931931152695,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8XL-អាវ blue Soccer Club 35-40kg,6931931152732,code129,,Cloth,pcs,pcs,,2.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
