"Product Code","Product Name",Variant,Expected,Counted
000000,"ប្រឡៅក 1$",,405.0000,
00001,"Royal Canine Medium Adult 1kg",,3.0000,
00002,"Royal Canine Maxi Puppy 1kg",,0.0000,
00003,"Royal Canine Maxi Adult 1kg",,0.0000,
018801,ដងជប់វែង,,0.0000,
032232,"តុក្កតា កវែង",,35.0000,
033200150206,"Arm &Hammer Cat Litter Deodorizer",,0.0000,
034445/3,ខ្សែទាញរាងមនុស្ស,,0.0000,
0671875797045,"Breath Bites Chicken",,5.0000,
0671875797052,"Breath Bites Beef",,0.0000,
0671875797069,"Breath Bites Lamb",,10.0000,
0671875797076,"Breath Bites Salmon",,2.0000,
0671875797083,"Breath Bites Seafood",,6.0000,
0671875797090,"Breath Bites Tuna",,5.0000,
0745760629497,"Kanimal Rabbit Shampoo",,10.0000,
0745760629701,"Kanimal Cat Shampoo Kitten",,10.0000,
0745760629824,"Kanimal Catnip Powder 10g",,21.0000,
0745760629916,"Kanimal Dog Shampoo Puppy",,15.0000,
0745760629947,"Kanimal Dog Shampoo Deodorizing",,10.0000,
0763163284327,"Holistic Dental Chew Milk",,49.0000,
0763163284334,"Holistic Dental Chew Mint",,49.0000,
0780348002187,"Holistic Dental Chew Milk Tea",,35.0000,
087717900496,"Davis Baking Soda",,6.0000,
087717907181,"Davis Chlorhexidine",,5.0000,
087717907228,"Davis Maximum Chlorhexidine",,5.0000,
087717907471,"Davis Keto",,10.0000,
11111,"Big-ស្ព្រៃបាញ់លើមុខរបួស Nano Spray",,0.0000,
11112,"Small-ស្ព្រៃបាញ់លើរបួស Nano Spray",,15.0000,
11113,"Dog-គ្រីមកំចាត់កមរមាស់​ Scabol",,40.0000,
11114,"Cat-គ្រីមកំចាត់កមរមាស់ Scabol",,3.0000,
1203021015,"Pink ប្រឡៅកមានខ្សែបណ្តើរ",,11.0000,
1203021016,"Blue ប្រឡៅកមានខ្សែបណ្តើរ",,10.0000,
1203021017,"Grey ប្រឡៅកមានខ្សែបណ្តើរ",,13.0000,
1203021029,"Purple ប្រឡៅកមានខ្សែបណ្តើរ",,13.0000,
1203101539,"Brown ប្រឡៅកមានខ្សែបណ្តើរ",,10.0000,
1203101540,"Black ប្រឡៅកមានខ្សែបណ្តើរ",,7.0000,
1203101553,"Brown ប្រឡៅកមានខ្សែបណ្តើរ",,0.0000,
1203101554,"Green ប្រឡៅកមានខ្សែបណ្តើរ",,12.0000,
12345,"Free Cat Royal Canin",,0.0000,
123455,"Free Dog Royal Canin",,0.0000,
14121000,"ឆ្អឹង Daddy Dog 30cm",,0.0000,
1441000,"ឆ្អឹង Daddy Dog 10cm",,0.0000,
1481000,"ឆ្អឹង Daddy Dog 20cm",,36.0000,
150150,ប្រឡៅតុក្កតាកណ្តឹងតូច,,87.0000,
1541000,"Daddy Dog ឆ្អឹងស្បែកគោ 10cm",,0.0000,
1561000,"Daddy Dog ឆ្អឹងស្បែកគោ 15cm",,63.0000,
1564426354916,"Ma Mah Herb Shampoo",,0.0000,
181201,"1.6mm ប្រឡៅច្រវ៉ាក់",,0.0000,
181202,"2mm ប្រឡៅច្រវ៉ាក់",,30.0000,
181203,"3mm ប្រឡៅច្រវ៉ាក់",,30.0000,
181204,"4mm ប្រឡៅច្រវ៉ាក់",,0.0000,
188593877,"Juicy Bite Chicken Tuna ",,37.0000,
18859387701173,"Juicy Bite Yellow",,18.0000,
18859387701180,"Juicy Bite Blue",,0.0000,
18859387701197,"Juicy Bite Purple",,0.0000,
18859387701203,"Juicy Bite Green",,0.0000,
2005YN4970TD02,"M Red ចានអុីណុក",,5.0000,
2005YN4970TD03,"L Red ចានអុីណុក",,5.0000,
2005YN4970TD04,"XL Red ចានអុីណុក",,5.0000,
2011SXSL5932HX14,"L-អាវលឿង Cute Baby",,0.0000,
2012000001,"L- កាបូបស្បែកស្ពាយកូន Pink 3-4kg",,0.0000,
2012000003,"L- កាបូបស្បែកស្ពាយកូន Grey 3-4kg",,3.0000,
2012000004,"L- កាបូបស្បែកស្ពាយកូន Yellow 3-4kg",,3.0000,
2013000001,"M- កាបូបស្បែកស្ពាយកូន Pink 2-3kg",,1.0000,
2013000003,"M- កាបូបស្បែកស្ពាយកូន Grey 2-3kg",,1.0000,
2013000004,"M- កាបូបស្បែកស្ពាយកូន Yellow 2-3kg",,4.0000,
2019000001,"S- កាបូបស្បែកស្ពាយកូន Pink 0.5-1.5kg",,3.0000,
2019000003,"S- កាបូបស្បែកស្ពាយកូន Grey 0.5-1.5kg",,3.0000,
2019000004,"S- កាបូបស្បែកស្ពាយកូន Yellow 0.5-1.5kg",,3.0000,
2103SXSL6175LB10,"អាវមានកាបូបម្នាស់-S Pineapple Bag Shirt",,0.0000,
2103SXSL6175LB12,"អាវមានកាបូបម្នាស់-M Pineapple Bag Shirt",,0.0000,
2103SXSL6175LB14,"អាវមានកាបូបម្នាស់-L Pineapple Bag Shirt",,0.0000,
2103SXSL6175LB16,"អាវមានកាបូបម្នាស់-XL Pineapple Bag Shirt",,0.0000,
2103SXSL6175LB18,"អាវមានកាបូបម្នាស់-2XL Pineapple Bag Shirt",,0.0000,
2104CGLK1421BA10,"អាវដៃត្រចៀកកណ្តុរ-S Petal Sleeve Shirt",,0.0000,
2104CGLK1421BA12,"អាវដៃត្រចៀកកណ្តុរ-M Petal Sleeve Shirt",,0.0000,
2104CGLK1421BA14,"អាវដៃត្រចៀកកណ្តុរ-L Petal Sleeve Shirt",,0.0000,
2104CGLK1421BA16,"អាវដៃត្រចៀកកណ្តុរ-XL Petal Sleeve Shirt",,0.0000,
211101,"Dog Chews 5cm Bone",,0.0000,
211103,"Dog Chews 10cm Bone",,0.0000,
211107,"Dog Chews 21cm Bone",,0.0000,
22222,ប្រឡៅផ្កាជ័រ,,0.0000,
2241200001,"XL- កាបូបស្បែកស្ពាយកូន Pink 4-8kg",,1.0000,
2241200003,"XL- កាបូបស្បែកស្ពាយកូន Grey 4-8kg",,1.0000,
2241200004,"XL- កាបូបស្បែកស្ពាយកូន Yellow 4-8kg",,2.0000,
2251750035,"ក្រាស់ឆ្មារអេសរមាស់ Cat It",,2.0000,
3182250702201,"Cat Fit 2 kg Royal Canine",,0.0000,
3182250771252,"Cat Gastrointestinal 2 kg Royal Canine",,0.0000,
3182550402149,"Maxi Puppy 4Kg Royal Canin",,0.0000,
3182550402224,"Maxi Adult 4Kg Royal Canin",,0.0000,
3182550402439,"Royal Canin Medium Puppy 1kg",,0.0000,
3182550402460,"Royal Canin Maxi Puppy 1kg",,0.0000,
3182550402613,"Mini Adult 15kg Royal Canin",,1.0000,
3182550702379,"Kitten 400g Royal Canin",,7.0000,
3182550702423,"Kitten 2Kg Royal Canin",,6.0000,
3182550702447,"Royal Canine Kitten 4kg",,13.0000,
3182550704625,"Indoor Adult Cat 2Kg Royal Canin",,13.0000,
3182550707305,"Mother & Baby Cat 400g Royal Canin",,0.0000,
3182550707312,"Mother & Baby Cat 2kg Royal Canin",,4.0000,
3182550707329,"Royal Canine Mother Baby 4kg",,15.0000,
3182550708180,"Medium Puppy 4Kg Royal Canin",,7.0000,
3182550708197,"Medium Adult 4Kg Royal Canin",,0.0000,
3182550716826,"RC Poodle Adult 500g",,0.0000,
3182550727389,"Mini Adult 1.5kg Royal Canin",,2.0000,
3182550743174,"Poodle Adult 1.5Kg Royal Canin",,1.0000,
3182550752404,"Pug Adult 1.5Kg Royal Canin",,0.0000,
3182550765190,"RC Poodle Puppy 500g",,0.0000,
3182550765213,"Poodle Puppy 1.5Kg Royal Canin",,0.0000,
3182550771054,"Dog Gastrointestinal 2kg Royal Canine",,0.0000,
3182550778657,"Mini Starter 1Kg Royal Canin",,1.0000,
3182550778671,"Mini Starter 3Kg Royal Canin",,0.0000,
31825507813082,"Pug Puppy 1.5Kg Royal Canin",,3.0000,
3182550782388,"Mini Puppy 15kg Royal Canin",,0.0000,
3182550803229,"Medium Puppy 16kg Royal Canin",,0.0000,
3182550803342,"Medium Adult 16kg Royal Canin",,0.0000,
3182550803359,"Maxi Puppy 16kg Royal Canin",,0.0000,
3182550803373,"Maxi Adult 16kg Royal Canin",,0.0000,
3182550815512,"Puppy  Gastrointestinal 1kg Royal Canine",,0.0000,
3182550838344,"Mini Puppy 500g Royal Canin",,0.0000,
3182550838351,"Mini Puppy 1.5Kg Royal Canin",,10.0000,
