Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
ផ្ទះកណ្តុររូបទា,70876,code128,,Daily Used,pcs,pcs,pcs,1.3,3,,,,70876.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ឈុតប្រដាប់លេងឈើ,70877,code128,,Toy,pcs,pcs,pcs,3,5.5,,,,70877.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ខ្សែប្រែពណ៌ QQ Pet,70878,code128,,Collar,pcs,pcs,pcs,1.85,3,,,,70878.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ទ្រនាប់ទ្រុងទន្សាយ,70879,code128,,Daily Used,pcs,pcs,pcs,0.66,1.5,,,,70879.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ផ្ទះចំបើង ផ្ទះត្រចៀកទន្សាយ,70880,code128,,Daily Used,pcs,pcs,pcs,1.8,3,,,,70880.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ផ្ទះចំបើង ផ្ទះជ្រុង,70881,code128,,Daily Used,pcs,pcs,pcs,2.95,4.5,,,,70881.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ផ្ទះចំបើង កន្ទេល,70882,code128,,Daily Used,pcs,pcs,pcs,0.75,1.5,,,,70882.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ផ្ទះចំបើង គ្រែ,70883,code128,,Daily Used,pcs,pcs,pcs,1.48,3,,,,70883.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 ឈុតប្រដាប់លេង,70884,code128,,Toy,pcs,pcs,pcs,1.5,2.5,,,,70884.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#2 ឈុតប្រដាប់លេង,70885,code128,,Toy,pcs,pcs,pcs,1.2,3,,,,70885.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3 ឈុតប្រដាប់លេង,70886,code128,,Toy,pcs,pcs,pcs,0.7,1.5,,,,70886.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
កំទេចឈើទន្សាយជុះ 1kg,70887,code128,,Daily Used,pcs,pcs,pcs,0.8,2,,,,70887.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ប្រឡៅទ្រូងទន្សាយ,70888,code128,,Collar,pcs,pcs,pcs,1.5,3,,,,70888.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
តូច-កំប៉ុងលាងជើង,70889,code128,,Daily Used,pcs,pcs,pcs,1.66,3.5,,,,70889.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ធំ-កំប៉ុងលាងជើង,70890,code128,,Daily Used,pcs,pcs,pcs,2.25,4,,,,70890.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅពាក់ខ្លួនតុក្កតា,70891,code128,,Collar,pcs,pcs,pcs,0.9,3,,,,70891.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅពាក់ខ្លួនតុក្កតា,70892,code128,,Collar,pcs,pcs,pcs,1.1,3,,,,70892.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅពាក់ខ្លួនបូរ,70893,code128,,Collar,pcs,pcs,pcs,1.24,3.5,,,,70893.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅពាក់ខ្លួនបូរ,70894,code128,,Collar,pcs,pcs,pcs,1.5,3.5,,,,70894.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅបូរឡេវ2,70895,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,70895.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅបូរឡេវ2,70896,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,70896.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-ប្រឡៅបូរឡេវ2,70897,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,70897.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small-ឈុតគ្រែគេង,70898,code128,,Daily Used,pcs,pcs,pcs,6.98,13,,,,70898.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big-ឈុតគ្រែគេង,70899,code128,,Daily Used,pcs,pcs,pcs,10.1,16,,,,70899.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small- ពូកត្រជាក់,70900,code128,,Daily Used,pcs,pcs,pcs,4.8,8.5,,,,70900.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big- ពូកត្រជាក់,70901,code128,,Daily Used,pcs,pcs,pcs,8.7,13,,,,70901.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ធុងដាក់ចំណី,70902,code128,,Daily Used,pcs,pcs,pcs,10.6,15,,,,70902.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
កំប៉ុងទឹកម៉ូតថ្មី,70903,code128,,Daily Used,pcs,pcs,pcs,4.75,10,,,,70903.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
កំប៉ុងចំណីម៉ូតថ្មី,70904,code128,,Daily Used,pcs,pcs,pcs,4.75,10,,,,70904.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-អៀមខោជាប់អាវ,70905,code128,,Cloth,pcs,pcs,pcs,3,6,,,,70905.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-អៀមខោជាប់អាវ,70906,code128,,Cloth,pcs,pcs,pcs,3,6,,,,70906.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-អៀមខោជាប់អាវ,70907,code128,,Cloth,pcs,pcs,pcs,3,6,,,,70907.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-អៀមខោជាប់អាវ,70908,code128,,Cloth,pcs,pcs,pcs,3,6,,,,70908.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL-អៀមខោជាប់អាវ,70909,code128,,Cloth,pcs,pcs,pcs,3,6,,,,70909.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-អាវ Around the Star,70910,code128,,Cloth,pcs,pcs,pcs,1.35,3,,,,70910.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-អាវ Around the Star,70911,code128,,Cloth,pcs,pcs,pcs,1.35,3,,,,70911.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-អាវ Around the Star,70912,code128,,Cloth,pcs,pcs,pcs,1.35,3,,,,70912.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-អាវ Around the Star,70913,code128,,Cloth,pcs,pcs,pcs,1.35,3,,,,70913.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL-អាវ Around the Star,70914,code128,,Cloth,pcs,pcs,pcs,1.35,3,,,,70914.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
វ៉ែនតាបេះដូង,70915,code128,,Cloth,pcs,pcs,pcs,0.6,2,,,,70915.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
វ៉ែនតាDJ,70916,code128,,Cloth,pcs,pcs,pcs,0.6,2,,,,70916.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham Ham នំស្រួយពងមាន់,70917,code128,,Food,pcs,pcs,pcs,0.76,1.25,,,,70917.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
 XS-ខ្នើយពាក់កតុក្កតា,70918,code128,,Daily Used,pcs,pcs,pcs,1.17,3,,,,70918.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ខ្នើយពាក់កតុក្កតា,70919,code128,,Daily Used,pcs,pcs,pcs,1.65,3,,,,70919.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ខ្នើយពាក់កតុក្កតា,70920,code128,,Daily Used,pcs,pcs,pcs,1.82,3,,,,70920.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-ខ្នើយពាក់កតុក្កតា,70921,code128,,Daily Used,pcs,pcs,pcs,2,3,,,,70921.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅទ្រុងរូបបាតជើង,70922,code128,,Collar,pcs,pcs,pcs,2.73,5,,,,70922.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅទ្រុងរូបបាតជើង,70923,code128,,Collar,pcs,pcs,pcs,2.73,5,,,,70923.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-ប្រឡៅទ្រុងរូបបាតជើង,70924,code128,,Collar,pcs,pcs,pcs,2.73,5,,,,70924.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-ប្រឡៅទ្រុងរូបបាតជើង,70925,code128,,Collar,pcs,pcs,pcs,2.73,5,,,,70925.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ខ្នើយពាក់ក,70926,code128,,Daily Used,pcs,pcs,pcs,1.5,2.5,,,,70926.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ខ្សែ7ពណ៍ ខ្សែមូល  7 color,70927,code128,,Food,pcs,pcs,pcs,1.2,3,,,,70927.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ប៉ៅអុី Swing Bed,70928,code128,,Daily Used,pcs,pcs,pcs,10.8,15,,,,70928.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ពងបាញ់ទឹក,70929,code128,,Daily Used,pcs,pcs,pcs,4.6,10,,,,70929.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ស្និតសិតចៃ,70930,code128,,Daily Used,pcs,pcs,pcs,0.5,2,,,,70930.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XS-ឃ្លុបមាត់ស្បែក,70931,code128,,Daily Used,pcs,pcs,pcs,0.72,2.5,,,,70931.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
