Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
8XL-ទឹកក្រូច អាវកដុប2ពណ៌​ COLLAR 2-COLOR SHIRT,6931931169334,code128,,Cloth,pcs,pcs,pcs,2.7,5,,,,6931931169334.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL- លឿង អាវកដុប2ពណ៌​ COLLAR 2-COLOR SHIRT,6931931169402,code128,,Cloth,pcs,pcs,pcs,2.7,5,,,,6931931169402.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL- លឿង អាវកដុប2ពណ៌​ COLLAR 2-COLOR SHIRT,6931931169419,code128,,Cloth,pcs,pcs,pcs,2.7,5,,,,6931931169419.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL- លឿង អាវកដុប2ពណ៌​ COLLAR 2-COLOR SHIRT,6931931169426,code128,,Cloth,pcs,pcs,pcs,2.7,5,,,,6931931169426.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XL- លឿង អាវកដុប2ពណ៌​ COLLAR 2-COLOR SHIRT,6931931169433,code128,,Cloth,pcs,pcs,pcs,2.7,5,,,,6931931169433.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XL- លឿង អាវកដុប2ពណ៌​ COLLAR 2-COLOR SHIRT,6931931169440,code128,,Cloth,pcs,pcs,pcs,2.7,5,,,,6931931169440.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
8XL- លឿង អាវកដុប2ពណ៌​ COLLAR 2-COLOR SHIRT,6931931169457,code128,,Cloth,pcs,pcs,pcs,2.7,5,,,,6931931169457.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXL-អាវមួកតុក្កតាទន្សាយផ្កាឈូក,6931931170217,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170217.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL-អាវគីគីធំមានមួក,6931931170279,code128,,Cloth,pcs,pcs,pcs,2.5,5,,,,6931931170279.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL-អាវគីគីធំមានមួក,6931931170286,code128,,Cloth,pcs,pcs,pcs,2.5,5,,,,6931931170286.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL-អាវគីគីធំមានមួក,6931931170293,code128,,Cloth,pcs,pcs,pcs,2.5,5,,,,6931931170293.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XL-អាវគីគីធំមានមួក,6931931170309,code128,,Cloth,pcs,pcs,pcs,2.5,5,,,,6931931170309.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XL-អាវគីគីធំមានមួក,6931931170316,code128,,Cloth,pcs,pcs,pcs,2.5,5,,,,6931931170316.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-អាវមួកតុក្កតាទន្សាយផ្កាឈូក,6931931170323,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170323.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-អាវមួកតុក្កតាទន្សាយផ្កាឈូក,6931931170590,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170590.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-អាវមួកតុក្កតាទន្សាយផ្កាឈូក,6931931170675,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170675.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-អាវមួកតុក្កតាទន្សាយផ្កាឈូក,6931931170743,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170743.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XS-អាវមួកតុក្កតាទន្សាយផ្កាឈូក,6931931170767,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170767.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXL-អាវមួកតុក្កតាទន្សាយផ្ទៃមេឃ,6931931170804,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170804.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-អាវមួកតុក្កតាទន្សាយផ្ទៃមេឃ,6931931170811,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170811.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-អាវមួកតុក្កតាទន្សាយផ្ទៃមេឃ,6931931170910,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170910.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-អាវមួកតុក្កតាទន្សាយផ្ទៃមេឃ,6931931170927,code128,,Cloth,pcs,pcs,pcs,1.8,4,,,,6931931170927.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
