"Product Code","Product Name",Variant,Expected,Counted
00001,"Royal Canine Medium Adult 1kg",,0.0000,
00002,"Royal Canine Maxi Puppy 1kg",,0.0000,
00003,"Royal Canine Maxi Adult 1kg",,0.0000,
0671875797045,"Breath Bites Chicken",,10.0000,
0671875797052,"Breath Bites Beef",,6.0000,
0671875797069,"Breath Bites Lamb",,10.0000,
0671875797076,"Breath Bites Salmon",,6.0000,
0671875797083,"Breath Bites Seafood",,7.0000,
0671875797090,"Breath Bites Tuna",,10.0000,
0763163284327,"Holistic Dental Chew Milk",,54.0000,
0763163284334,"Holistic Dental Chew Mint",,50.0000,
0780348002187,"Holistic Dental Chew Milk Tea",,35.0000,
12345,"Free Cat Royal Canin",,0.0000,
123455,"Free Dog Royal Canin",,0.0000,
14121000,"ឆ្អឹង Daddy Dog 30cm",,0.0000,
1441000,"ឆ្អឹង Daddy Dog 10cm",,0.0000,
1481000,"ឆ្អឹង Daddy Dog 20cm",,0.0000,
1541000,"Daddy Dog ឆ្អឹងស្បែកគោ 10cm",,0.0000,
1561000,"Daddy Dog ឆ្អឹងស្បែកគោ 15cm",,0.0000,
18859387701173,"Juicy Bite Yellow",,40.0000,
18859387701180,"Juicy Bite Blue",,40.0000,
18859387701197,"Juicy Bite Purple",,0.0000,
18859387701203,"Juicy Bite Green",,0.0000,
211101,"Dog Chews 5cm Bone",,0.0000,
211103,"Dog Chews 10cm Bone",,0.0000,
211107,"Dog Chews 21cm Bone",,0.0000,
3182250702201,"Cat Fit 2 kg Royal Canine",,0.0000,
3182250771252,"Cat Gastrointestinal 2 kg Royal Canine",,0.0000,
3182550402149,"Maxi Puppy 4Kg Royal Canin",,0.0000,
3182550402224,"Maxi Adult 4Kg Royal Canin",,0.0000,
3182550402439,"Royal Canin Medium Puppy 1kg",,0.0000,
3182550402460,"Royal Canin Maxi Puppy 1kg",,0.0000,
3182550702379,"Kitten 400g Royal Canin",,11.0000,
3182550702423,"Kitten 2Kg Royal Canin",,4.0000,
3182550702447,"Royal Canine Kitten 4kg",,0.0000,
3182550704625,"Indoor Adult Cat 2Kg Royal Canin",,18.0000,
3182550707305,"Mother & Baby Cat 400g Royal Canin",,0.0000,
3182550707312,"Mother & Baby Cat 2kg Royal Canin",,5.0000,
3182550707329,"Royal Canine Mother Baby 4kg",,0.0000,
3182550708180,"Medium Puppy 4Kg Royal Canin",,5.0000,
3182550708197,"Medium Adult 4Kg Royal Canin",,0.0000,
3182550716826,"RC Poodle Adult 500g",,0.0000,
3182550727389,"Mini Adult 1.5kg Royal Canin",,6.0000,
3182550743174,"Poodle Adult 1.5Kg Royal Canin",,6.0000,
3182550752404,"Pug Adult 1.5Kg Royal Canin",,0.0000,
3182550765190,"RC Poodle Puppy 500g",,0.0000,
3182550765213,"Poodle Puppy 1.5Kg Royal Canin",,6.0000,
3182550771054,"Dog Gastrointestinal 2kg Royal Canine",,0.0000,
3182550778657,"Mini Starter 1Kg Royal Canin",,6.0000,
3182550778671,"Mini Starter 3Kg Royal Canin",,0.0000,
31825507813082,"Pug Puppy 1.5Kg Royal Canin",,0.0000,
3182550782388,"Mini Puppy 15kg Royal Canin",,1.0000,
3182550803229,"Medium Puppy 16kg Royal Canin",,0.0000,
3182550803342,"Medium Adult 16kg Royal Canin",,0.0000,
3182550803359,"Maxi Puppy 16kg Royal Canin",,0.0000,
3182550803373,"Maxi Adult 16kg Royal Canin",,0.0000,
3182550815512,"Puppy  Gastrointestinal 1kg Royal Canine",,0.0000,
3182550838344,"Mini Puppy 500g Royal Canin",,0.0000,
3182550838351,"Mini Puppy 1.5Kg Royal Canin",,12.0000,
3182550838368,"Mini Puppy 3Kg Royal Canin",,4.0000,
3182550879897,"Mini Adult 3kg Royal Canin",,4.0000,
3182550906258,"Kitten Gastrointestinal 2 kg Royal Canine",,0.0000,
3182550932707,"Starter 4kg Royal Canine",,2.0000,
3182550933346,"Mini Starter 3Kg Royal Canin",,0.0000,
3258561270012,"Belle France Dog Beef",,0.0000,
3258561270036,"Belle France Dog Chicken",,0.0000,
3258561270050,"Belle France Dog Lamb",,0.0000,
3258561270500,"Belle France Cat Beef",,0.0000,
3258561270562,"Belle France Cat Salmon",,0.0000,
3850477810204,"SmartHeart Roast Beef Dog Food 20KG",,5.0000,
4580626180042,"Hell Kitchen 2 Goat Milk Cat Porridge",,0.0000,
4580626180059,"Hell Kitchen 3 Cheese Chicken Cat Porridge",,0.0000,
4580626180202,"Hell Kitchen 4 Fish and Shrimp Cat Porridge",,0.0000,
4580626180219,"Hell Kitchen 1 Pumpkin and Ham Cat Porridge",,0.0000,
4901133056413,"Ciao Tower Chicken Tuna",,0.0000,
4901133056437,"Ciao Tower Bonito",,8.0000,
4901133056444,"Ciao Tower Chicken Fish",,16.0000,
4901133549915,"Ciao Petite Tuna",,6.0000,
4901133549922,"Ciao Petite Bonito",,6.0000,
4901133549939,"Ciao Petite Chicken",,6.0000,
4901133622052,"Ciao Cup Pudding Red",,6.0000,
4901133622069,"Ciao Cup Pudding Blue",,6.0000,
4901133622076,"Ciao Cup Pudding Orange",,6.0000,
4901133622083,"Ciao Cup Pudding Pink",,6.0000,
4901133625893,"Ciao Churu Bee Maguro",,0.0000,
4901133625909,"Ciao Churu Bee Chicken",,0.0000,
4901133625954,"Ciao Churu Bee Sasimi",,0.0000,
4901133630842,"Ciao ក្រហម បបរវីតាមីន ត្រីសមុទ្រ",,6.0000,
4901133630866,"Ciao លឿង បបរវីតាមីន សាច់មាន់",,6.0000,
4901133630873,"Ciao ខៀវ បបរវីតាមីន ត្រីសមុទ្រ និងខ្យង",,36.0000,
4901133632433,"Ciao Soft Bits Long Orange",,0.0000,
4901133632440,"Ciao Soft Bits Long Green",,0.0000,
4901133632457,"Inaba Wan Tube Green",,5.0000,
4901133632464,"Inaba Wan Tube Red",,5.0000,
4901133632471,"Inaba Wan Tube Yellow",,5.0000,
4901133635762,"Ciao Soft Bits Yellow",,12.0000,
4901133635779,"Ciao Soft Bits Long Purple",,0.0000,
4901133635984,"Ciao Soft Bits Green",,11.0000,
4901133636325,"Ciao Soft Bits Blue",,11.0000,
4901133716577,"Churu Creamy Treat Tuna Maguro",,6.0000,
4901133718274,"Churu Creamy Treat Squid",,12.0000,
4901133718373,"Churu Creamy Treat Scallop",,4.0000,
4901133718724,"Ciao Churutto Red",,0.0000,
4901133718731,"Ciao Churutto Stick",,0.0000,
4901133718748,"Ciao Churutto Blue",,0.0000,
4901133815171,"Ciao Cup Jelly Blue",,0.0000,
4901133815188,"Ciao Cup Jelly Orange",,6.0000,
4901133815195,"Ciao Cup Jelly Blue",,6.0000,
4901133815201,"Ciao Cup Jelly Pink",,6.0000,
4901133821240,"Inaba Jelly Stick Orange",,5.0000,
4901133821257,"Inaba Jelly Stick Pink",,5.0000,
4901133821264,"Inaba Jelly Stick Green",,5.0000,
4901133821271,"Inaba Jelly Stick Blue",,4.0000,
4901133863103,"Ciao Cup Gravy Red",,6.0000,
4901133863110,"Ciao Cup Gravy Blue",,6.0000,
4901133863127,"Ciao Cup Gravy Green",,6.0000,
4901133863134,"Ciao Cup Gravy Yellow",,6.0000,
4902397811138,"Cesar សាច់កំប៉ុង កូនឆ្កែ Puppy",,0.0000,
5010394984577,"Pedigree Denta Stix S",,0.0000,
5010394984584,"Pedigree Denta Stix M",,7.0000,
55500050,ចំណីកាំប្រម៉ា,,10.0000,
55500051,"Pet Heng Hamster Fruit Food",,10.0000,
55500052,"Pet Heng Sugar Glider Food",,17.0000,
5998749109113,"Pedigree Denta Stix L",,0.0000,
6922192903553,"បបរគ្រីមរសជាតិបន្លែ ល្ហុង",,100.0000,
6922192903560,"បបរគ្រីមរសជាតិបន្លែ ការ៉ុត",,99.0000,
6922192903577,"បបរគ្រីមរសជាតិបន្លែ  ដំឡូង",,199.0000,
6922192903584,"បបរគ្រីមរសជាតិបន្លែ ល្ពៅ",,0.0000,
6922192914412,"នំគ្រាម Hamster Strawberry",,0.0000,
6922192932317,"នំគ្រាម Hamster ការ៉ុត",,0.0000,
6922192944143,"ពោតគ្រាម Corn Hamster",,80.0000,
6922192949728,"Worm Hamster",,79.0000,
6922192968880,"Lollipops Hamster",,19.0000,
6922192974881,"នំអង្គាមរូបបាតជើង Hamster",,0.0000,
6922192983920,"Vegetable Hamster",,10.0000,
6922192986396,"ឈីស Cheese Hamster",,7.0000,
6935296402891,"Ciao 4 Cat Biscuit Purple",,0.0000,
