Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
ធំ-ប្រឡៅស្ទាយជប៉ុន Big-Japanese Style Harness,70293,code128,,Collar,pcs,pcs,pcs,1.76,3.5,,,,70293.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
កាបូបស្ពាយក្រោយថ្លា Transparent Backpack,70298,code128,,Daily Used,pcs,pcs,pcs,6.9,14,,,,70298.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
កាបូបស្ពាយក្រោយ រូបឆ្មារ Cat Backpack,70299,code128,,Daily Used,pcs,pcs,pcs,8.5,16,,,,70299.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL-អាវទឹកក្រូចលាយផ្ទៃមេឃ Orange-Blue Shirt,70300,code128,,Cloth,pcs,pcs,pcs,1.67,4.5,,,,70300.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL-អាវទឹកក្រូចលាយផ្ទៃមេឃ Orange-Blue Shirt,70301,code128,,Cloth,pcs,pcs,pcs,1.82,4.5,,,,70301.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL-អាវទឹកក្រូចលាយផ្ទៃមេឃ Orange-Blue Shirt,70302,code128,,Cloth,pcs,pcs,pcs,1.98,4.5,,,,70302.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XL-អាវទឹកក្រូចលាយផ្ទៃមេឃ Orange-Blue Shirt,70303,code128,,Cloth,pcs,pcs,pcs,2.2,4.5,,,,70303.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XL-អាវទឹកក្រូចលាយផ្ទៃមេឃ Orange-Blue Shirt,70304,code128,,Cloth,pcs,pcs,pcs,2.3,4.5,,,,70304.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL-អាវបៃតងលាយផ្កាឈូក Green-Pink Shirt,70305,code128,,Cloth,pcs,pcs,pcs,1.67,4.5,,,,70305.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL-អាវបៃតងលាយផ្កាឈូក Green-Pink Shirt,70306,code128,,Cloth,pcs,pcs,pcs,1.82,4.5,,,,70306.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
