Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Monchou Tuna Shrimp,8858786705914,code128,,Food,pcs,pcs,pcs,0.58,1,,,,8858786705914.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monchou Tuna Seabream,8858786705945,code128,,Food,pcs,pcs,pcs,0.53,1,,,,8858786705945.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monchou Mackerel Grouper,8858786706003,code128,,Food,pcs,pcs,pcs,0.53,1,,,,8858786706003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monchou Chicken Tuna,8858786706034,code128,,Food,pcs,pcs,pcs,0.53,1,,,,8858786706034.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monchou Tuna Salmon,8858786706096,code128,,Food,pcs,pcs,pcs,0.58,1,,,,8858786706096.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monchou Kitten Mackerel Tuna,8858786709615,code128,,Food,pcs,pcs,pcs,0.47,1,,,,8858786709615.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monchou Kitten Tuna Dory,8858786710130,code128,,Food,pcs,pcs,pcs,0.58,1,,,,8858786710130.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monchou Tuna Mousse,8858786710192,code128,,Food,pcs,pcs,pcs,0.53,1,,,,8858786710192.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dok Dok Pee Pad 45*60cm,8858788700467,code128,,Daily Used,pcs,pcs,pcs,6.5,8,,,,8858788700467.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dok Dok Pee Pad 33*45cm,8858788700474,code128,,Daily Used,pcs,pcs,pcs,6.5,8,,,,8858788700474.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Cat Cat litter Apple 5L,8858788702508,code128,,Shampoo,pcs,pcs,pcs,4.85,5.5,,,,8858788702508.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Cat Cat litter Lemon 5L,8858788702515,code128,,Shampoo,pcs,pcs,pcs,4.85,5.5,,,,8858788702515.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Cat Cat litter Apple 10L,8858788702546,code128,,Shampoo,pcs,pcs,pcs,9.25,10,,,,8858788702546.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Cat Cat litter Lemon 10L,8858788702553,code128,,Shampoo,pcs,pcs,pcs,9.25,10,,,,8858788702553.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie S Dental Bone Beef,8858979700047,code128,,Food,pcs,pcs,pcs,0.4,0.75,,,,8858979700047.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie L Dental Bone Beef,8858979700061,code128,,Food,pcs,pcs,pcs,0.85,1.75,,,,8858979700061.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie S Dental Bone Chicken,8858979700078,code128,,Food,pcs,pcs,pcs,0.4,0.75,,,,8858979700078.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie L Dental Bone Chicken,8858979700092,code128,,Food,pcs,pcs,pcs,0.85,1.75,,,,8858979700092.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15 MunzNie Crocgy Beef S,8858979700283,code128,,Food,pcs,pcs,pcs,0.37,0.75,,,,8858979700283.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15 MunzNie Crocgy Chicken S,8858979700290,code128,,Food,pcs,pcs,pcs,0.37,0.75,,,,8858979700290.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie Crocgy Beef Big,8858979700313,code128,,Food,pcs,pcs,pcs,0.75,1.5,,,,8858979700313.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie Crocgy Chicken Big,8858979700320,code128,,Food,pcs,pcs,pcs,0.75,1.5,,,,8858979700320.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16 MunzNie Crocgy Milk S,8858979700344,code128,,Food,pcs,pcs,pcs,0.37,0.75,,,,8858979700344.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie Crocgy Milk Big,8858979700351,code128,,Food,pcs,pcs,pcs,0.75,1.5,,,,8858979700351.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie S Dental Bone Milk,8858979700436,code128,,Food,pcs,pcs,pcs,0.4,0.75,,,,8858979700436.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie L Dental Bone Milk,8858979700450,code128,,Food,pcs,pcs,pcs,0.85,1.75,,,,8858979700450.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie Jumbo Size Dental Bone Beef,8858979700474,code128,,Food,pcs,pcs,pcs,1.2,2.5,,,,8858979700474.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie Jumbo Size Dental Bone Chicken,8858979700481,code128,,Food,pcs,pcs,pcs,1.2,2.5,,,,8858979700481.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie Jumbo Size Dental Bone Milk,8858979700504,code128,,Food,pcs,pcs,pcs,1.2,2.5,,,,8858979700504.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#5 MunzNie,8858979700962,code128,,Food,pcs,pcs,pcs,0.51,1.5,,,,8858979700962.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#7 MunzNie,8858979701013,code128,,Food,pcs,pcs,pcs,0.6,1.5,,,,8858979701013.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#4 MunzNie,8858979701020,code128,,Food,pcs,pcs,pcs,0.65,1.5,,,,8858979701020.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 MunzNie ,8858979701044,code128,,Food,pcs,pcs,pcs,0.9,1.5,,,,8858979701044.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunzNie Bone 30cm,8858979701174,code128,,Food,pcs,pcs,pcs,3,4.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
#2 MunzNie,8858979701396,code128,,Food,pcs,pcs,pcs,0.65,1.5,,,,8858979701396.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#8 MunzNie,8858979701426,code128,,Food,pcs,pcs,pcs,0.46,1.5,,,,8858979701426.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#6 MunzNie,8858979701440,code128,,Food,pcs,pcs,pcs,0.46,1.5,,,,8858979701440.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#9 MunzNie,8858979701488,code128,,Food,pcs,pcs,pcs,0.51,1.5,,,,8858979701488.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3 MunzNie,8858979701525,code128,,Food,pcs,pcs,pcs,0.51,1.5,,,,8858979701525.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#13 MunzNie,8858979701723,code128,,Food,pcs,pcs,pcs,0.66,2,,,,8858979701723.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14 MunzNie,8858979701754,code128,,Food,pcs,pcs,pcs,0,2,,,,8858979701754.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#20 MunzNie ចំណិតសាច់មាន់,8858979701785,code128,,Food,pcs,pcs,pcs,4.1,6,,,,8858979701785.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#19 MunzNie ឆ្អឹងតូច 6cm,8858979701822,code128,,Food,pcs,pcs,pcs,4.31,6,,,,8858979701822.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#18 MunzNie ឆ្អឹងកណ្តាល 10cm,8858979701839,code128,,Food,pcs,pcs,pcs,4.31,6,,,,8858979701839.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#10 MunzNie,8858979701846,code128,,Food,pcs,pcs,pcs,2.7,3,,,,8858979701846.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11 MunzNie,8858979701853,code128,,Food,pcs,pcs,pcs,2.7,3,,,,8858979701853.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12 MunzNie,8858979701952,code128,,Food,pcs,pcs,pcs,2.7,3,,,,8858979701952.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17 MunzNie ឆ្អឹងធំ 15cm,8858979702003,code128,,Food,pcs,pcs,pcs,4.4,6,,,,8858979702003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23 MunzNie សាច់មាន់dumbell ,8858979702034,code128,,Food,pcs,pcs,pcs,4.9,6.5,,,,8858979702034.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21 MunzNie ដើមសាច់មាន់,8858979702041,code128,,Food,pcs,pcs,pcs,4.9,6.5,,,,8858979702041.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22 MunzNie សាច់មាន់រុំដើមទឹកដោះគោ,8858979702065,code128,,Food,pcs,pcs,pcs,4.9,6.5,,,,8858979702065.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
នំទឹកដៅះពពែគ្រាប់ឆ្អឹង ថង់ផ្ទៃមេឃ Goat Milk Series,8858979702249,code128,,Food,pcs,pcs,pcs,2.9,4.5,,,,8858979702249.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
នំទឹកដៅះពពែដើមវែង ថង់ផ្ទៃមេឃ Goat Milk Series,8858979702256,code128,,Food,pcs,pcs,pcs,2.9,4.5,,,,8858979702256.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
នំទឹកដៅះពពែដើមជ្រុង ថង់ផ្ទៃមេឃ Goat Milk Series,8858979702263,code128,,Food,pcs,pcs,pcs,2.5,4.5,,,,8858979702263.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
នំទឹកដៅះពពែដើមគួច ថង់ផ្ទៃមេឃ Goat Milk Series,8858979702270,code128,,Food,pcs,pcs,pcs,2.9,4.5,,,,8858979702270.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
