Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
ប្រឡៅក 1$,00000,code128,,Collar,pcs,pcs,pcs,0.3,1,,,,00000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canine Medium Adult 1kg,00001,code128,,Food,pcs,pcs,pcs,4.5,7,,,,00001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canine Maxi Puppy 1kg,00002,code128,,Food,pcs,pcs,pcs,4.6,8.25,,,,00002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canine Maxi Adult 1kg,00003,code128,,Food,pcs,pcs,pcs,4.5,7,,,,00003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ដងជប់វែង,018801,code128,,Toy,pcs,pcs,pcs,0.7,2.5,,,,018801.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
តុក្កតា កវែង,032232,code128,,Toy,pcs,pcs,pcs,1.32,3,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm &Hammer Cat Litter Deodorizer,033200150206,code128,,Shampoo,pcs,pcs,pcs,3.2,6,,,,033200150206.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ខ្សែទាញរាងមនុស្ស,034445/3,code128,,Toy,pcs,pcs,pcs,1.7,4,,,,034445/3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath Bites Chicken,0671875797045,code128,,Food,pcs,pcs,pcs,1.05,1.75,,,,0671875797045.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath Bites Beef,0671875797052,code128,,Food,pcs,pcs,pcs,1.05,1.75,,,,0671875797052.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath Bites Lamb,0671875797069,code128,,Food,pcs,pcs,pcs,1.05,1.75,,,,0671875797069.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath Bites Salmon,0671875797076,code128,,Food,pcs,pcs,pcs,1.05,1.75,,,,0671875797076.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath Bites Seafood,0671875797083,code128,,Food,pcs,pcs,pcs,1.05,1.75,,,,0671875797083.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath Bites Tuna,0671875797090,code128,,Food,pcs,pcs,pcs,1.05,1.75,,,,0671875797090.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanimal Rabbit Shampoo,0745760629497,code128,,Shampoo,pcs,pcs,pcs,3.4,5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanimal Cat Shampoo Kitten,0745760629701,code128,,Shampoo,pcs,pcs,pcs,3,4.5,,,,0745760629701.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanimal Dog Shampoo Puppy,0745760629916,code128,,Shampoo,pcs,pcs,pcs,3.1,4.5,,,,0745760629916.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanimal Dog Shampoo Deodorizing,0745760629947,code128,,Shampoo,pcs,pcs,pcs,3.1,4.5,,,,0745760629947.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holistic Dental Chew Milk,0763163284327,code128,,Food,pcs,pcs,pcs,0.5,1.5,,,,0763163284327.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holistic Dental Chew Mint,0763163284334,code128,,Food,pcs,pcs,pcs,0.5,1.5,,,,0763163284334.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holistic Dental Chew Milk Tea,0780348002187,code128,,Food,pcs,pcs,pcs,0.5,1.5,,,,0780348002187.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
