Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
2005YN4970TD02,1.21,5,,,,
2005YN4970TD03,1.52,5,,,,
2005YN4970TD04,1.8,5,,,,
6975170717611,1.06,5,,,,
6928949697072,1.21,5,,,,
6928949697089,1.52,5,,,,
6928949697096,1.8,5,,,,
6975170712258,1.06,5,,,,
6975170712265,1.21,5,,,,
6975170712272,1.52,5,,,,
6975170712289,1.8,5,,,,
6975170717604,1.06,5,,,,
6928949697126,1.21,5,,,,
6928949697133,1.52,5,,,,
6928949697140,1.8,5,,,,
6931931152749,2.2,5,,,,
6931931152756,2.2,5,,,,
6931931152800,2.2,5,,,,
6931931152817,2.2,5,,,,
6931931152862,2.2,5,,,,
6931931152879,2.2,5,,,,
6931931152633,2.2,5,,,,
6931931152664,2.2,5,,,,
6931931152671,2.2,5,,,,
6931931152688,2.2,5,,,,
6931931152695,2.2,5,,,,
6931931152732,2.2,5,,,,
